,source,target,value
115,['strengthweighted0.5abs'],['local efficiencyweighted0.3zero'],0.6935090449804465
116,['strengthweighted0.5abs'],['global efficiencyweighted0.3zero'],0.3029811936001121
117,['strengthweighted0.5abs'],['modularityweighted0.3zero'],0.11877742579456914
118,['strengthweighted0.5abs'],['participation coefficientweighted0.3zero'],0.07792933521360533
119,['strengthweighted0.5abs'],['strengthbinarize0.3zero'],0.5270903869856236
120,['strengthweighted0.5abs'],['betweennness centralitybinarize0.3zero'],-0.05283627866404806
121,['strengthweighted0.5abs'],['clusteringbinarize0.3zero'],0.47349053554099363
122,['strengthweighted0.5abs'],['eigenvector centralitybinarize0.3zero'],0.3467734948683197
123,['strengthweighted0.5abs'],['local efficiencybinarize0.3zero'],0.4770816814839597
124,['strengthweighted0.5abs'],['global efficiencybinarize0.3zero'],-0.22733617660819214
125,['strengthweighted0.5abs'],['modularitybinarize0.3zero'],0.18576944666084844
126,['strengthweighted0.5abs'],['participation coefficientbinarize0.3zero'],-0.03525820238766968
127,['strengthweighted0.5abs'],['strengthweighted0.1zero'],0.8436929192532234
128,['strengthweighted0.5abs'],['betweennness centralityweighted0.1zero'],0.21514063161917757
129,['strengthweighted0.5abs'],['clusteringweighted0.1zero'],0.30367288337715903
130,['strengthweighted0.5abs'],['eigenvector centralityweighted0.1zero'],0.46075134159806297
131,['strengthweighted0.5abs'],['local efficiencyweighted0.1zero'],0.4134832980567105
132,['strengthweighted0.5abs'],['global efficiencyweighted0.1zero'],0.28686064905212605
133,['strengthweighted0.5abs'],['modularityweighted0.1zero'],0.07369736746997453
134,['strengthweighted0.5abs'],['participation coefficientweighted0.1zero'],0.4272966524286305
135,['strengthweighted0.5abs'],['strengthbinarize0.1zero'],0.7929275065155375
136,['strengthweighted0.5abs'],['betweennness centralitybinarize0.1zero'],0.2521055033381447
137,['strengthweighted0.5abs'],['clusteringbinarize0.1zero'],0.17071123085487241
138,['strengthweighted0.5abs'],['eigenvector centralitybinarize0.1zero'],0.48187733315488235
139,['strengthweighted0.5abs'],['local efficiencybinarize0.1zero'],0.231070172057616
140,['strengthweighted0.5abs'],['global efficiencybinarize0.1zero'],-0.20142640950861423
141,['strengthweighted0.5abs'],['modularitybinarize0.1zero'],0.10807057209851458
142,['strengthweighted0.5abs'],['participation coefficientbinarize0.1zero'],0.026588147208557282
143,['betweennness centralityweighted0.5abs'],['strengthweighted0.5abs'],0.46559577663402457
144,['betweennness centralityweighted0.5abs'],['clusteringweighted0.5abs'],0.08605805870600357
145,['betweennness centralityweighted0.5abs'],['eigenvector centralityweighted0.5abs'],0.4532044094320544
146,['betweennness centralityweighted0.5abs'],['local efficiencyweighted0.5abs'],0.15176151263354004
147,['betweennness centralityweighted0.5abs'],['global efficiencyweighted0.5abs'],-0.056631359017446946
148,['betweennness centralityweighted0.5abs'],['modularityweighted0.5abs'],-0.008901634819740477
149,['betweennness centralityweighted0.5abs'],['participation coefficientweighted0.5abs'],0.30117302744921504
150,['betweennness centralityweighted0.5abs'],['strengthbinarize0.5abs'],0.4844533142932091
151,['betweennness centralityweighted0.5abs'],['betweennness centralitybinarize0.5abs'],0.5599604653071294
152,['betweennness centralityweighted0.5abs'],['clusteringbinarize0.5abs'],-0.09606827171088198
153,['betweennness centralityweighted0.5abs'],['eigenvector centralitybinarize0.5abs'],0.4459708267831685
154,['betweennness centralityweighted0.5abs'],['local efficiencybinarize0.5abs'],-0.0959535922978007
155,['betweennness centralityweighted0.5abs'],['global efficiencybinarize0.5abs'],0.008367233791862494
156,['betweennness centralityweighted0.5abs'],['modularitybinarize0.5abs'],-0.03558721223691145
157,['betweennness centralityweighted0.5abs'],['participation coefficientbinarize0.5abs'],-0.00044894383162465297
158,['betweennness centralityweighted0.5abs'],['strengthweighted0.3abs'],0.49508010302923333
159,['betweennness centralityweighted0.5abs'],['betweennness centralityweighted0.3abs'],0.9947532907410486
160,['betweennness centralityweighted0.5abs'],['clusteringweighted0.3abs'],-0.12246199836657848
161,['betweennness centralityweighted0.5abs'],['eigenvector centralityweighted0.3abs'],0.43074551922948745
162,['betweennness centralityweighted0.5abs'],['local efficiencyweighted0.3abs'],-0.02572783949803457
163,['betweennness centralityweighted0.5abs'],['global efficiencyweighted0.3abs'],-0.056376189049228996
164,['betweennness centralityweighted0.5abs'],['modularityweighted0.3abs'],-0.005451511276962972
165,['betweennness centralityweighted0.5abs'],['participation coefficientweighted0.3abs'],0.3684699597135943
166,['betweennness centralityweighted0.5abs'],['strengthbinarize0.3abs'],0.5270556010664551
