source,target,value
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.3keep', '0.2961269682790668']",0.48762168306830667
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.3keep', '5.1002910900543874e-05']",-0.2329663963748256
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.3keep', '0.001996347383970476']",0.19257060147187238
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.3keep', '0.0032444086048247778']",-0.0359058880607921
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthweighted0.1keep', '0.3407274085494759']",0.8478329080420667
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.1keep', '0.2845701314847875']",0.21806395912678395
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.1keep', '0.2928413117245364']",0.31573452574127736
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.1keep', '0.37649290481474385']",0.46894653030226985
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.1keep', '0.31138790168752783']",0.4297189419138949
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.1keep', '1.971546967582949e-05']",0.2892336417846089
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.1keep', '7.237564388917761e-07']",0.07569807239331239
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.1keep', '0.00847975400090728']",0.442429175676983
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.1keep', '0.3328597032909555']",0.7967285140956538
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.1keep', '0.30417808136901914']",0.25693791696118023
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.1keep', '0.2790248571152928']",0.17566593484272364
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.1keep', '0.3276205190265131']",0.49152391727515765
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.1keep', '0.2935827587798351']",0.23725112247027905
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.1keep', '0.0014833685185059453']",-0.207248729574325
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.1keep', '8.380546624064955e-05']",0.11112422564923598
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.1keep', '0.0002990378724598841']",0.027229191730524613
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthweighted0.5zero', '0.32199819950138364']",0.8078527862895702
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.5zero', '0.2827976617370258']",0.20884727601720546
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.5zero', '0.3650596853127439']",0.8514301432625376
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.5zero', '0.3423767302731002']",0.5381224884119603
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.5zero', '0.37144004272361353']",0.8680622996458798
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.5zero', '9.291368218000695e-05']",0.3059986573152413
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.5zero', '6.868521087288748e-05']",0.09311650551931648
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.5zero', '0.006354496676262422']",-0.13609829875996182
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.5zero', '0.28960376051997694']",-0.03232746432164391
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.5zero', '0.3254820389145122']",-0.48472674693623513
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.5zero', '0.32422673998199014']",0.668091563232748
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.5zero', '0.293797898854408']",-0.015157786075879564
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.5zero', '0.32425246915325234']",0.668100349265042
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.5zero', '0.0011536394716661347']",0.05864560119178806
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.5zero', '0.0005446663464253598']",0.17352935465786137
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.5zero', '0.0020757704225365936']",-0.05609704123910708
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthweighted0.3zero', '0.34008547162435154']",0.8637114440716944
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.3zero', '0.2826499830585747']",0.20886578347583776
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.3zero', '0.3383410890867957']",0.6630709798725598
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.3zero', '0.34204583609011874']",0.5492083777874792
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.3zero', '0.3613123377084164']",0.6999676800323869
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.3zero', '9.295783729679208e-05']",0.3060103683524285
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.3zero', '0.00024038296319295327']",0.12315400542766307
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.3zero', '0.005976665428369277']",0.08123776494450607
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.3zero', '0.31650412748811985']",0.5480645328515666
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.3zero', '0.26924206925584815']",-0.05439559311655649
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.3zero', '0.2939158568042721']",0.48416337629737927
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.3zero', '0.34355570469275865']",0.38259445472160364
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.3zero', '0.2961269682790668']",0.48762168306830667
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.3zero', '5.1002910900543874e-05']",-0.2329663963748256
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.3zero', '0.001996347383970476']",0.19257060147187238
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.3zero', '0.0032444086048247778']",-0.0359058880607921
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthweighted0.1zero', '0.3407274085494759']",0.8478329080420667
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.1zero', '0.2845701314847875']",0.21806395912678395
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.1zero', '0.2928413117245364']",0.31573452574127736
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.1zero', '0.37649290481474385']",0.46894653030226985
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.1zero', '0.31138790168752783']",0.4297189419138949
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.1zero', '1.971546967582949e-05']",0.2892336417846089
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.1zero', '7.237564388917761e-07']",0.07569807239331239
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.1zero', '0.00847975400090728']",0.442429175676983
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.1zero', '0.3328597032909555']",0.7967285140956538
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.1zero', '0.30417808136901914']",0.25693791696118023
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.1zero', '0.2790248571152928']",0.17566593484272364
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.1zero', '0.3276205190265131']",0.49152391727515765
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.1zero', '0.2935827587798351']",0.23725112247027905
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.1zero', '0.0014833685185059453']",-0.207248729574325
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.1zero', '8.380546624064955e-05']",0.11112422564923598
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.1zero', '0.0002990378724598841']",0.027229191730524613
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['strengthweighted0.5abs', '0.3227356606213898']",0.47228523065740263
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['clusteringweighted0.5abs', '0.3463626014120448']",0.08629372964480905
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['eigenvector centralityweighted0.5abs', '0.3272864517146735']",0.45979179258514646
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['local efficiencyweighted0.5abs', '0.34660346702722045']",0.15268012243692267
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['global efficiencyweighted0.5abs', '0.0002780441912417775']",-0.05697149262565602
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['modularityweighted0.5abs', '0.0039175088281971915']",-0.009288475483003171
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['participation coefficientweighted0.5abs', '0.002174983013353615']",0.3020831472586166
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['strengthbinarize0.5abs', '0.3283727160032395']",0.48892794132522766
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['betweennness centralitybinarize0.5abs', '0.31193593602682934']",0.5636143564908522
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['clusteringbinarize0.5abs', '0.34643650188151387']",-0.0974869510548672
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['eigenvector centralitybinarize0.5abs', '0.32789220362531923']",0.4502868569092033
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['local efficiencybinarize0.5abs', '0.3481814815244336']",-0.09736984603891086
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['global efficiencybinarize0.5abs', '0.027769675330101218']",0.008401409165054321
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['modularitybinarize0.5abs', '0.009684259543524365']",-0.03602076586825774
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['participation coefficientbinarize0.5abs', '1.8443948325730375e-05']",-0.0003622112034776725
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['strengthweighted0.3abs', '0.33096198938800925']",0.502904594034986
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['betweennness centralityweighted0.3abs', '0.3356092081791623']",0.9967951440874279
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['clusteringweighted0.3abs', '0.36978688332066956']",-0.12552087522353783
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['eigenvector centralityweighted0.3abs', '0.34127698468969925']",0.43730679727294264
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['local efficiencyweighted0.3abs', '0.37038582420298305']",-0.027134641843897432
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['global efficiencyweighted0.3abs', '0.00027141903098870657']",-0.05671563438440305
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['modularityweighted0.3abs', '0.003334328282724841']",-0.005728509961679223
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['participation coefficientweighted0.3abs', '0.003181381551461304']",0.36995599942289603
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['strengthbinarize0.3abs', '0.32573549286805314']",0.5330538536028621
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['betweennness centralitybinarize0.3abs', '0.31515508685748217']",0.6966236261846497
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['clusteringbinarize0.3abs', '0.3700413145144562']",-0.23163392570248428
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['eigenvector centralitybinarize0.3abs', '0.33243021288223584']",0.4504968284330818
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['local efficiencybinarize0.3abs', '0.3676903487702534']",-0.21641940145098826
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['global efficiencybinarize0.3abs', '0.00021250483781709573']",0.03876746277493886
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['modularitybinarize0.3abs', '0.008919574479413384']",-0.02363163333775942
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['participation coefficientbinarize0.3abs', '0.0']",-0.003643574067230804
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['strengthweighted0.1abs', '0.32899066086489637']",0.4871616083325666
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['betweennness centralityweighted0.1abs', '0.2936327078677571']",0.8558511772744495
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['clusteringweighted0.1abs', '0.3020141480683215']",-0.3190685738900479
